Age,Gender,Hydration_Level,Oil_Level,Sensitivity,Humidity,Temperature,Skin_Type,Sleep_Hours,Water_Intake_L,Exercise,Stress_Level,Diet,Smoking,Alcohol,Skin_Health_Score
18,Male,Medium,Low,Medium,63.8,22.6,Dry,5,1.4,Regular,High,Mixed,No,Occasionally,26
31,Male,Medium,High,Medium,50.5,32.8,Oily,9,1.3,Light,High,Balanced,No,Never,54
49,Male,Medium,Medium,Low,76.0,37.8,Normal,5,2.3,Regular,High,Mixed,No,Never,44
18,Male,Medium,High,Low,47.1,22.2,Oily,4,2.6,Regular,Low,Balanced,No,Occasionally,63
22,Male,Low,High,Low,43.3,19.9,Oily,7,3.2,Regular,Medium,Balanced,No,Never,84
47,Female,Low,Low,Medium,30.2,27.1,Dry,5,3.7,Moderate,Low,Mixed,No,Occasionally,57
26,Female,Low,Low,Low,30.4,34.3,Dry,9,3.2,Light,Medium,Healthy,No,Never,88
29,Female,High,Medium,Medium,52.4,22.3,Sensitive,7,3.4,Regular,High,Mixed,Yes,Frequently,42
38,Male,Low,Low,High,69.5,35.6,Dry,4,3.2,Regular,Medium,Balanced,No,Never,58
27,Male,Medium,High,High,82.8,33.8,Sensitive,8,1.6,Moderate,Low,Balanced,No,Occasionally,73
49,Male,Low,Low,Low,45.0,35.3,Dry,8,3.4,Regular,Medium,Mixed,No,Never,80
55,Female,Low,Low,Low,44.9,31.3,Dry,8,2.4,Moderate,Medium,Healthy,No,Occasionally,71
26,Male,Low,Low,High,33.1,25.3,Dry,9,3.4,Regular,Medium,Healthy,Yes,Never,78
49,Female,Medium,Medium,Low,55.4,29.4,Normal,6,3.1,Moderate,Medium,Junk,No,Never,53
58,Female,Low,Low,Low,83.7,22.7,Sensitive,7,2.9,Regular,High,Balanced,No,Never,61
28,Male,High,Low,Low,34.0,29.5,Sensitive,9,3.8,Regular,Medium,Healthy,No,Never,100
50,Male,Medium,Medium,High,84.5,19.7,Dry,9,2.8,None,High,Healthy,No,Never,50
25,Male,Medium,Medium,High,49.6,33.1,Dry,5,1.2,Moderate,Medium,Healthy,No,Never,49
29,Male,Medium,Low,High,64.7,36.5,Dry,7,3.8,Light,Medium,Mixed,No,Never,70
42,Female,Low,Medium,Medium,64.9,24.0,Oily,8,1.3,Regular,Low,Healthy,No,Occasionally,81
43,Male,Low,High,High,83.9,21.0,Sensitive,6,2.1,None,High,Healthy,Yes,Frequently,8
42,Male,High,Medium,High,25.1,36.6,Combination,9,3.0,Moderate,Low,Mixed,No,Never,94
32,Female,Low,Low,Medium,44.6,25.3,Dry,6,3.3,None,High,Healthy,No,Occasionally,38
19,Male,Low,Medium,Medium,61.9,27.6,Sensitive,8,2.5,None,Medium,Healthy,No,Frequently,54
45,Male,Low,High,Medium,81.7,20.1,Oily,6,1.8,Regular,High,Mixed,No,Never,39
36,Male,Low,High,High,49.3,27.9,Oily,9,2.4,Moderate,High,Balanced,No,Never,65
40,Female,High,High,Low,75.5,20.7,Oily,6,2.4,None,Low,Healthy,No,Occasionally,67
20,Male,High,Medium,High,31.0,26.0,Dry,4,2.5,Moderate,Low,Healthy,No,Occasionally,66
46,Male,Low,Low,High,67.3,27.3,Dry,5,2.5,Moderate,Low,Healthy,No,Never,61
36,Female,Medium,Medium,High,73.1,21.5,Sensitive,9,1.6,None,Medium,Balanced,Yes,Occasionally,34
45,Female,Medium,Medium,Low,54.8,22.1,Normal,8,1.0,Light,Medium,Junk,No,Never,52
46,Female,Medium,Medium,Medium,74.4,19.6,Combination,8,1.2,Light,Low,Junk,No,Never,53
43,Female,Medium,High,Medium,70.3,33.9,Oily,4,2.3,Moderate,Medium,Junk,No,Occasionally,34
55,Male,Medium,Medium,Low,81.5,19.4,Normal,9,2.7,Moderate,Medium,Mixed,No,Never,77
22,Female,Low,Medium,Medium,61.6,28.0,Combination,8,1.9,Regular,High,Junk,No,Occasionally,34
58,Male,Medium,Medium,Low,36.9,29.8,Normal,9,1.4,Moderate,Medium,Mixed,No,Frequently,46
27,Male,Medium,Medium,Low,82.2,27.7,Normal,8,1.8,Light,Low,Balanced,No,Occasionally,70
60,Female,Medium,Medium,Low,79.7,37.9,Normal,7,3.4,None,High,Healthy,Yes,Occasionally,35
26,Male,Low,High,High,75.7,20.1,Oily,7,1.2,Light,Medium,Healthy,No,Occasionally,49
52,Male,High,High,Medium,60.7,35.7,Oily,8,2.3,None,Low,Junk,Yes,Occasionally,43
50,Female,High,Low,High,76.1,37.4,Sensitive,7,3.7,Light,Low,Mixed,No,Occasionally,74
51,Male,Medium,Medium,Low,51.4,28.1,Normal,7,3.8,Moderate,Low,Healthy,No,Never,92
48,Male,Low,Medium,Low,47.8,19.7,Combination,8,2.2,Regular,Medium,Junk,No,Never,65
55,Female,High,Medium,High,50.4,36.1,Combination,5,2.4,Regular,Medium,Junk,Yes,Never,36
21,Female,Low,Low,Medium,72.4,33.8,Dry,7,1.3,Moderate,Medium,Balanced,No,Never,62
53,Male,Medium,Medium,High,59.9,35.2,Oily,9,3.0,Light,Low,Healthy,No,Never,94
36,Female,Medium,High,Medium,26.5,27.1,Oily,6,1.5,Moderate,Low,Balanced,No,Never,66
55,Male,Medium,Medium,Medium,57.6,20.5,Combination,8,3.9,Regular,High,Healthy,No,Occasionally,70
57,Male,Low,Medium,High,34.1,37.8,Sensitive,8,2.3,Moderate,Medium,Balanced,No,Never,67
25,Male,High,High,High,84.9,35.5,Oily,9,2.2,Light,Medium,Balanced,No,Never,80
20,Female,Medium,High,Medium,67.0,36.2,Oily,6,3.7,Light,Low,Healthy,No,Never,84
59,Male,High,Medium,Medium,72.3,26.3,Sensitive,4,2.4,Regular,High,Junk,No,Never,32
34,Male,Medium,Medium,Low,82.4,32.6,Normal,7,2.4,Moderate,Low,Healthy,No,Never,90
32,Female,Medium,Medium,Low,80.1,30.5,Normal,6,2.6,Moderate,Medium,Mixed,No,Frequently,52
57,Female,Medium,High,Medium,77.0,24.5,Oily,8,1.8,Light,Medium,Healthy,No,Occasionally,61
29,Male,Medium,Medium,Medium,39.8,36.6,Combination,9,1.1,None,Medium,Balanced,No,Never,58
52,Female,Medium,High,Medium,32.5,28.3,Oily,6,2.0,Moderate,Medium,Healthy,No,Occasionally,66
37,Male,High,High,Low,80.2,38.0,Oily,9,3.6,Regular,Medium,Balanced,No,Never,97
38,Female,Low,High,Low,50.4,25.3,Oily,7,2.0,Regular,Medium,Mixed,No,Never,71
30,Male,Medium,High,Low,49.3,25.6,Oily,5,3.6,Light,Medium,Mixed,No,Never,56
56,Female,Low,High,Medium,34.6,21.7,Oily,5,1.5,Light,High,Balanced,Yes,Never,6
48,Female,High,High,Low,31.2,21.5,Oily,9,4.0,None,High,Junk,No,Never,48
51,Female,Low,High,Low,53.5,28.3,Sensitive,7,2.4,Moderate,Medium,Healthy,No,Never,72
46,Male,Medium,Medium,Medium,68.1,33.9,Sensitive,5,2.9,Moderate,Low,Healthy,No,Never,71
32,Female,Medium,High,Medium,77.0,28.6,Oily,7,2.7,Regular,Medium,Balanced,No,Never,82
26,Male,Medium,Medium,Low,66.7,22.7,Normal,6,3.6,Light,High,Junk,No,Occasionally,35
34,Female,Medium,Medium,Low,42.1,27.3,Normal,9,1.4,Light,High,Healthy,Yes,Never,44
46,Female,High,Medium,High,68.9,27.8,Combination,8,3.2,Regular,Medium,Junk,No,Never,76
36,Male,Medium,Medium,Low,26.8,35.4,Normal,8,2.6,Moderate,High,Junk,No,Never,53
21,Male,Medium,Medium,Low,48.2,22.9,Normal,4,1.8,Regular,Low,Balanced,Yes,Frequently,28
52,Male,High,High,Low,43.3,18.7,Oily,9,3.4,Regular,Medium,Mixed,No,Never,89
50,Male,Medium,Medium,Low,41.7,23.1,Combination,9,3.9,Light,Medium,Mixed,No,Never,74
22,Female,Medium,Medium,Low,38.0,32.1,Normal,8,1.3,Moderate,Medium,Junk,No,Never,56
56,Male,Low,Low,High,77.4,32.7,Dry,8,2.7,Moderate,Medium,Balanced,No,Occasionally,66
56,Male,High,High,Medium,75.3,20.1,Oily,7,3.0,Light,Low,Mixed,Yes,Frequently,56
42,Female,Low,Low,High,38.6,27.0,Dry,8,1.7,Moderate,Low,Junk,Yes,Occasionally,36
19,Female,Low,High,Medium,35.3,35.3,Sensitive,4,3.1,Moderate,Low,Healthy,No,Never,68
32,Male,Low,Low,High,48.2,26.7,Sensitive,4,1.1,None,High,Balanced,Yes,Frequently,0
48,Female,Low,Medium,Low,48.0,19.9,Dry,4,3.8,Light,Medium,Junk,No,Occasionally,22
55,Male,Medium,Medium,Medium,72.0,33.3,Combination,8,2.9,Light,Low,Junk,No,Occasionally,65
24,Male,Medium,High,Medium,70.1,36.3,Dry,4,2.1,Regular,High,Junk,No,Never,27
39,Male,Low,Medium,High,78.8,25.8,Sensitive,6,1.3,None,Medium,Junk,No,Never,16
32,Female,Low,Low,Medium,74.1,36.3,Dry,6,3.3,Moderate,Medium,Healthy,No,Occasionally,70
44,Male,Low,High,Medium,62.3,21.2,Oily,8,2.4,None,Low,Balanced,No,Occasionally,68
25,Female,Medium,Medium,Low,65.9,30.8,Normal,8,1.2,None,High,Balanced,No,Occasionally,35
47,Female,Low,Low,High,33.0,35.6,Dry,6,2.4,Regular,Medium,Balanced,Yes,Never,46
23,Male,High,Medium,Medium,81.1,36.8,Combination,7,2.1,Moderate,High,Healthy,No,Never,70
60,Male,Medium,Medium,Low,48.1,21.7,Normal,4,1.3,Moderate,High,Balanced,No,Occasionally,18
43,Male,Medium,Medium,High,45.1,29.8,Oily,7,1.2,Regular,High,Junk,No,Never,35
24,Female,Medium,Medium,Low,47.4,34.7,Normal,4,2.0,Regular,Low,Mixed,No,Occasionally,59
49,Male,Low,Medium,High,28.0,30.6,Combination,5,3.8,Regular,Medium,Junk,No,Never,42
35,Female,High,Low,High,61.7,35.7,Sensitive,6,1.0,None,Medium,Junk,No,Never,31
34,Female,Low,High,Low,81.0,36.5,Oily,6,1.0,None,High,Junk,No,Occasionally,0
23,Male,Medium,Medium,Low,83.5,30.2,Normal,7,3.7,None,High,Healthy,No,Never,55
41,Male,Medium,Low,High,33.2,18.9,Sensitive,7,1.2,Moderate,Low,Healthy,Yes,Never,64
59,Male,High,Medium,High,44.6,23.9,Sensitive,9,1.4,Moderate,Medium,Balanced,No,Occasionally,64
40,Male,Medium,Medium,Low,41.7,27.4,Normal,4,2.2,Regular,High,Mixed,No,Never,40
30,Female,Low,Medium,Low,79.1,32.5,Combination,4,1.1,Light,Low,Mixed,No,Never,39
29,Male,Medium,Medium,Low,42.8,37.4,Normal,9,2.1,Light,High,Mixed,No,Frequently,47
51,Male,Medium,High,Low,50.8,21.9,Oily,8,1.7,Regular,Low,Healthy,No,Never,83
29,Female,Medium,Medium,High,83.1,24.0,Combination,5,2.6,Light,Low,Mixed,Yes,Occasionally,39
41,Female,Medium,Medium,Low,46.1,25.3,Normal,7,1.5,Moderate,Medium,Healthy,No,Frequently,60
38,Male,Medium,Low,Low,84.4,20.0,Dry,5,1.3,None,Low,Mixed,Yes,Never,26
19,Male,Medium,High,Medium,28.2,32.1,Oily,5,2.9,Moderate,Medium,Junk,No,Frequently,33
23,Male,Low,High,Medium,51.3,24.3,Sensitive,8,2.1,Regular,Low,Junk,No,Occasionally,69
23,Female,Low,Low,Low,77.7,37.3,Dry,9,3.1,Moderate,Medium,Junk,No,Never,67
49,Male,High,Medium,Low,75.7,27.3,Combination,8,1.1,Light,Medium,Mixed,No,Frequently,48
22,Male,Low,High,High,83.2,33.5,Dry,4,1.6,Regular,Low,Healthy,No,Never,52
45,Male,Medium,Medium,Low,66.9,33.2,Normal,4,1.2,Light,Medium,Healthy,No,Occasionally,38
57,Male,Medium,Medium,High,39.6,25.5,Sensitive,8,2.0,None,Medium,Healthy,No,Never,65
18,Male,Medium,High,High,28.5,28.9,Oily,9,2.3,Light,High,Junk,Yes,Never,34
26,Male,Medium,Medium,Low,59.2,23.8,Normal,8,3.1,Regular,High,Healthy,No,Never,85
28,Female,Medium,High,High,29.4,22.3,Oily,7,1.9,None,Medium,Healthy,No,Never,53
21,Male,Medium,Medium,Low,59.4,33.6,Normal,5,3.4,Light,High,Healthy,No,Never,49
59,Female,Low,Medium,Medium,39.7,30.7,Combination,8,2.7,Moderate,Low,Healthy,Yes,Never,72
43,Female,Low,High,Low,65.7,37.2,Oily,7,2.0,Regular,Medium,Mixed,No,Never,74
29,Male,Medium,Medium,Medium,48.7,22.6,Dry,5,2.3,Regular,Low,Healthy,No,Never,81
51,Male,Low,Low,Low,60.8,18.0,Dry,7,1.3,Regular,High,Healthy,No,Never,48
45,Male,Medium,Low,Low,46.2,36.2,Dry,4,2.6,Regular,Medium,Mixed,No,Never,58
25,Female,Medium,High,Low,60.3,24.3,Oily,9,2.4,Regular,Low,Mixed,No,Never,97
21,Female,Medium,High,High,67.0,35.2,Sensitive,4,2.6,Light,High,Balanced,No,Occasionally,30
50,Female,High,High,Medium,84.7,20.8,Oily,9,3.3,Light,Low,Balanced,No,Never,97
32,Male,Medium,Medium,Low,34.3,23.0,Normal,6,1.8,Regular,Medium,Mixed,Yes,Occasionally,39
25,Male,High,High,Medium,36.8,18.2,Oily,5,3.2,Regular,Low,Balanced,Yes,Never,74
27,Male,Low,High,High,46.6,36.6,Sensitive,9,3.6,Light,Medium,Healthy,No,Never,79
44,Female,Medium,Medium,High,25.2,37.7,Sensitive,4,2.0,Regular,Low,Mixed,No,Never,63
24,Male,Low,Low,Low,60.9,26.3,Dry,9,3.9,None,Low,Junk,No,Frequently,53
51,Male,Medium,Low,High,69.5,34.4,Dry,4,2.9,Light,Low,Healthy,Yes,Frequently,29
49,Male,Medium,Medium,Low,47.0,29.1,Normal,6,3.9,Moderate,High,Balanced,Yes,Occasionally,32
42,Male,Low,Medium,Low,59.2,34.1,Combination,6,2.1,Light,Low,Mixed,No,Occasionally,60
45,Female,High,Medium,High,36.3,22.5,Sensitive,7,2.0,Light,Medium,Healthy,No,Occasionally,75
26,Female,Low,Low,Medium,33.8,22.3,Sensitive,7,3.0,Regular,Medium,Junk,No,Never,70
27,Male,Medium,Medium,Low,76.0,30.7,Normal,4,2.6,Moderate,High,Junk,No,Occasionally,20
27,Male,High,Medium,Low,64.5,29.4,Combination,7,1.8,Light,Low,Healthy,No,Frequently,66
47,Male,High,Low,High,39.2,22.9,Sensitive,5,3.8,None,Medium,Healthy,No,Never,56
51,Female,Medium,High,Low,53.0,32.6,Oily,9,2.7,Light,Low,Balanced,No,Occasionally,83
35,Female,Medium,Low,High,58.9,37.8,Sensitive,6,2.2,Regular,Medium,Balanced,Yes,Never,55
35,Male,Low,Low,Medium,79.5,29.5,Dry,8,3.8,Light,Low,Balanced,No,Never,86
41,Female,High,Medium,High,39.4,27.1,Oily,6,1.4,Light,Medium,Junk,No,Never,42
36,Male,Medium,High,High,36.7,33.9,Sensitive,5,3.8,Regular,Low,Balanced,No,Occasionally,71
46,Female,High,Medium,High,65.8,18.4,Oily,8,2.9,Regular,Medium,Balanced,No,Never,81
23,Female,Medium,Medium,Low,80.0,29.1,Combination,6,1.5,Light,High,Healthy,Yes,Never,28
47,Female,High,High,Medium,31.7,21.9,Oily,5,3.6,Regular,Medium,Mixed,No,Never,69
27,Male,Medium,Medium,Medium,50.8,31.6,Sensitive,7,1.6,Moderate,Low,Junk,No,Never,63
58,Female,Medium,Medium,High,28.8,36.6,Combination,6,2.0,Moderate,High,Healthy,Yes,Never,39
29,Male,Low,Low,High,36.7,26.5,Dry,8,1.9,Regular,Medium,Healthy,Yes,Occasionally,52
58,Male,Medium,Medium,Low,34.9,18.7,Normal,4,1.6,Moderate,Medium,Healthy,No,Never,44
19,Male,Medium,Medium,Low,62.9,27.7,Normal,5,2.0,Regular,High,Balanced,Yes,Occasionally,30
33,Male,Medium,Medium,Medium,67.0,21.8,Dry,8,2.8,Light,Low,Junk,No,Occasionally,70
32,Female,Medium,High,Medium,83.3,27.4,Oily,4,3.7,Moderate,Medium,Balanced,No,Never,57
50,Male,Low,Medium,Medium,27.3,18.3,Combination,4,1.5,None,Medium,Junk,Yes,Never,0
53,Male,Medium,Medium,High,72.6,30.6,Combination,9,3.3,Moderate,Low,Balanced,No,Never,91
26,Male,High,Medium,Medium,34.2,37.0,Oily,9,2.5,Moderate,High,Healthy,Yes,Never,67
54,Male,High,Medium,High,62.9,21.7,Combination,9,3.9,Moderate,Medium,Mixed,No,Frequently,67
41,Male,Low,High,High,53.7,34.0,Sensitive,4,3.6,None,Low,Balanced,No,Never,50
33,Male,Medium,Medium,Low,43.9,35.1,Normal,6,3.3,Moderate,Low,Healthy,No,Never,90
29,Female,Medium,Medium,Low,55.5,23.7,Normal,7,1.7,Regular,Medium,Balanced,No,Occasionally,68
48,Male,Medium,Medium,Low,62.6,19.3,Oily,4,2.3,Regular,Low,Balanced,Yes,Never,50
35,Male,Medium,Medium,Low,65.2,29.5,Normal,7,2.8,Light,Low,Balanced,No,Never,83
18,Male,Low,High,High,29.3,35.3,Dry,7,1.3,Regular,Low,Balanced,Yes,Never,60
45,Female,Medium,Medium,Low,59.0,27.1,Normal,4,2.7,Moderate,Low,Healthy,No,Never,67
56,Male,Medium,Low,Low,82.5,31.9,Dry,8,2.6,Moderate,Medium,Balanced,Yes,Frequently,51
54,Female,High,High,Low,43.5,18.6,Oily,8,3.0,Regular,Medium,Healthy,No,Never,94
55,Male,Low,High,High,41.3,23.7,Oily,9,2.4,Regular,Medium,Mixed,No,Never,73
47,Female,Medium,High,Medium,42.9,27.0,Oily,7,3.8,Regular,Low,Mixed,No,Never,90
20,Female,Low,Low,High,46.2,32.0,Sensitive,7,1.6,Moderate,Medium,Healthy,No,Never,62
46,Male,Medium,Low,Low,66.8,22.5,Dry,5,1.1,Light,Medium,Healthy,No,Never,45
28,Female,Medium,High,High,76.2,30.3,Oily,8,2.9,Moderate,Medium,Balanced,No,Frequently,66
60,Female,High,High,High,81.5,23.8,Oily,5,1.9,Light,Low,Junk,No,Never,37
55,Male,Low,Medium,High,81.7,23.2,Combination,8,2.4,Light,High,Junk,No,Never,36
60,Male,Low,Low,Medium,61.3,27.5,Dry,5,4.0,Moderate,Medium,Mixed,No,Occasionally,46
24,Male,High,High,High,51.7,19.2,Dry,5,1.3,Moderate,Low,Balanced,Yes,Never,44
36,Female,Medium,High,High,32.5,22.9,Oily,4,1.9,Moderate,High,Balanced,No,Occasionally,17
54,Male,Low,Medium,High,77.5,20.1,Combination,4,1.6,Regular,Low,Balanced,No,Occasionally,39
30,Female,Medium,Medium,Low,62.7,34.8,Normal,4,2.7,Moderate,High,Junk,No,Frequently,11
41,Female,Medium,Low,Medium,29.3,36.7,Dry,8,2.1,Regular,Low,Healthy,Yes,Never,89
26,Male,Low,Medium,High,36.0,26.1,Sensitive,9,1.3,Light,Medium,Mixed,No,Occasionally,51
60,Female,High,Medium,Low,27.0,33.8,Combination,9,1.9,Regular,Low,Junk,No,Never,69
27,Male,Medium,Medium,Low,83.3,26.8,Normal,6,1.2,Light,High,Balanced,Yes,Never,20
52,Female,Low,Low,High,61.6,23.6,Sensitive,7,2.0,Moderate,Low,Junk,Yes,Never,43
26,Male,Medium,Medium,Low,39.0,20.7,Normal,5,2.0,Moderate,Low,Healthy,No,Never,75
34,Female,Medium,Medium,Low,29.1,31.8,Normal,9,3.7,Regular,Medium,Mixed,No,Never,93
48,Female,Medium,Medium,Low,78.9,19.1,Combination,6,2.9,Light,Low,Junk,Yes,Occasionally,36
34,Female,Low,Low,High,72.5,18.9,Dry,8,1.9,None,High,Balanced,No,Frequently,21
19,Male,Medium,Medium,Low,34.8,21.3,Normal,5,1.9,Regular,Low,Mixed,No,Frequently,45
60,Female,Low,Medium,Medium,63.5,31.8,Combination,6,3.5,Moderate,Medium,Mixed,Yes,Never,44
21,Female,Medium,High,High,34.2,31.6,Oily,9,1.4,Moderate,High,Healthy,No,Never,60
39,Female,Medium,High,High,68.5,20.9,Oily,5,2.5,Moderate,Medium,Mixed,No,Never,52
23,Male,Low,High,High,55.8,22.7,Sensitive,6,3.9,Moderate,High,Mixed,No,Frequently,31
47,Male,Medium,Medium,High,72.9,36.7,Sensitive,8,1.5,None,High,Balanced,No,Never,30
25,Female,Low,Medium,High,69.9,23.0,Dry,8,2.4,Light,Medium,Healthy,No,Never,74
38,Female,Medium,Medium,Low,63.8,35.0,Normal,5,3.7,Regular,Low,Balanced,No,Frequently,68
37,Female,Low,Medium,High,56.1,28.2,Sensitive,8,3.8,None,Medium,Mixed,No,Never,61
42,Female,Medium,Low,High,51.9,23.1,Dry,9,3.7,Light,Medium,Healthy,Yes,Never,71
44,Male,Medium,High,Low,35.2,36.2,Oily,8,1.5,Moderate,High,Balanced,No,Occasionally,47
19,Female,Medium,Medium,Low,80.6,21.0,Normal,6,1.4,Light,High,Junk,No,Never,23
38,Female,High,Medium,High,49.1,26.7,Combination,7,3.0,Regular,Medium,Healthy,No,Never,98
29,Male,Low,High,Medium,26.6,31.4,Oily,6,1.3,Light,Low,Mixed,No,Never,51
54,Male,Low,Medium,Low,74.1,19.7,Combination,5,1.3,Regular,High,Balanced,No,Occasionally,21
41,Male,High,Medium,High,84.5,24.0,Sensitive,4,1.3,Moderate,Medium,Healthy,No,Never,48
26,Male,Low,Low,Medium,80.9,26.8,Dry,8,2.4,Regular,Medium,Mixed,Yes,Occasionally,56
43,Female,Low,Medium,High,51.1,20.6,Combination,6,3.0,None,Low,Junk,No,Never,45
29,Male,Low,High,Medium,56.9,33.9,Oily,4,1.8,Moderate,Medium,Junk,No,Occasionally,14
23,Female,Medium,Low,High,49.4,30.2,Sensitive,8,1.8,Moderate,Low,Healthy,No,Never,82
19,Male,Medium,High,Medium,69.7,32.1,Oily,4,1.0,Regular,Medium,Balanced,No,Never,50
24,Male,Low,High,Low,78.2,36.0,Oily,8,3.1,Regular,Medium,Healthy,No,Occasionally,85
60,Male,Low,Low,Low,52.4,26.7,Dry,5,3.6,Light,Medium,Junk,Yes,Never,22
31,Male,Medium,Medium,High,30.0,24.7,Combination,4,3.6,Regular,High,Mixed,No,Never,42
24,Male,Medium,High,Low,29.5,21.1,Oily,8,3.4,Light,Low,Balanced,No,Never,93
32,Female,Medium,High,High,76.4,28.6,Sensitive,6,3.1,Regular,High,Healthy,Yes,Never,52
24,Male,High,High,Medium,25.4,36.0,Oily,8,2.6,Regular,High,Healthy,No,Never,83
46,Female,High,Low,Medium,60.6,29.6,Dry,8,2.9,Moderate,Low,Mixed,No,Occasionally,84
27,Female,High,High,Medium,70.8,30.2,Oily,6,2.7,None,Low,Healthy,No,Never,73
39,Female,Medium,High,Medium,70.8,32.8,Oily,5,2.7,Moderate,Medium,Balanced,No,Occasionally,57
55,Female,Low,Low,Medium,58.7,29.1,Dry,8,2.4,Moderate,Medium,Balanced,No,Occasionally,66
43,Female,Low,Medium,High,75.8,20.3,Dry,7,1.7,Regular,Medium,Balanced,No,Occasionally,58
52,Male,Medium,High,High,40.9,24.3,Sensitive,8,1.5,Moderate,High,Junk,No,Never,34
20,Male,High,Low,Low,58.2,36.0,Oily,4,3.5,Light,Medium,Healthy,No,Occasionally,57
53,Male,Low,Medium,High,65.0,28.8,Sensitive,5,2.9,Regular,Low,Junk,Yes,Never,34
33,Male,High,Medium,High,27.8,22.3,Dry,9,2.0,Light,Medium,Healthy,Yes,Occasionally,66
59,Male,High,Low,Medium,58.5,33.3,Dry,5,3.5,Regular,Medium,Junk,No,Never,54
50,Female,Low,High,Medium,53.3,26.3,Sensitive,9,3.4,None,Medium,Healthy,No,Occasionally,62
32,Female,Medium,Medium,Medium,60.7,18.9,Sensitive,7,1.8,Light,Medium,Junk,No,Frequently,30
37,Male,High,Medium,Low,45.7,29.9,Oily,7,1.4,Regular,High,Healthy,Yes,Never,47
39,Male,High,High,Low,26.8,28.0,Oily,7,3.7,Light,Low,Mixed,No,Never,88
38,Male,Medium,Low,Medium,25.4,34.6,Dry,5,1.9,Regular,Low,Healthy,Yes,Occasionally,46
18,Male,High,High,High,29.1,32.3,Oily,7,1.7,Regular,Low,Junk,No,Never,66
52,Male,Medium,Medium,Low,58.3,32.2,Normal,6,2.7,Light,Medium,Balanced,No,Never,62
38,Male,High,High,Low,30.0,19.3,Oily,6,3.7,Moderate,Medium,Balanced,No,Never,80
37,Female,Medium,Medium,Low,70.9,30.8,Normal,6,3.3,Light,High,Mixed,Yes,Never,38
47,Male,Medium,High,Medium,37.0,23.8,Oily,8,1.6,Light,Medium,Balanced,No,Never,57
44,Male,Low,High,Medium,74.5,28.4,Sensitive,8,3.9,Moderate,Low,Balanced,No,Never,93
22,Female,Medium,Medium,High,53.5,18.2,Combination,8,2.3,Light,Low,Healthy,No,Never,88
60,Male,High,Low,High,73.3,28.2,Sensitive,4,2.5,Regular,Medium,Mixed,No,Never,52
49,Male,Medium,Medium,High,47.7,21.3,Combination,7,2.8,None,Low,Healthy,No,Never,71
34,Female,Medium,Medium,Low,50.8,37.4,Normal,6,1.2,Moderate,Medium,Healthy,No,Never,63
53,Female,Medium,Medium,Low,59.6,28.6,Normal,5,3.5,Moderate,Low,Healthy,No,Never,79
51,Female,Low,High,Medium,41.6,36.8,Sensitive,8,1.9,Regular,High,Mixed,No,Never,44
28,Female,Medium,Medium,Medium,63.1,29.4,Combination,8,1.4,Moderate,Low,Balanced,No,Never,81
55,Female,High,Medium,High,78.8,34.9,Combination,4,3.5,Light,Medium,Balanced,Yes,Never,34
47,Male,High,High,Medium,82.9,36.5,Sensitive,4,3.4,Regular,Low,Balanced,Yes,Never,60
51,Male,Medium,Low,Medium,55.2,33.0,Dry,8,1.3,None,Low,Junk,No,Never,43
39,Male,Low,High,High,64.4,35.3,Sensitive,9,2.7,Regular,High,Balanced,No,Never,65
53,Female,High,Low,Medium,72.4,19.8,Sensitive,9,1.9,Moderate,High,Mixed,No,Occasionally,50
60,Female,Medium,Low,High,32.3,22.8,Dry,8,1.2,Light,High,Healthy,No,Never,44
59,Female,Medium,High,Medium,66.4,24.6,Oily,8,3.4,Regular,Medium,Healthy,No,Occasionally,86
31,Female,Low,High,Medium,72.2,27.9,Oily,7,3.3,None,Medium,Healthy,No,Occasionally,63
54,Male,Medium,High,Medium,62.6,28.9,Oily,7,1.3,Moderate,Low,Mixed,No,Never,65
42,Male,Medium,Medium,Low,59.1,25.1,Normal,4,1.3,Light,Medium,Mixed,No,Never,33
33,Female,Medium,Medium,Low,52.4,35.1,Normal,8,2.8,Regular,Medium,Balanced,No,Never,85
51,Male,Medium,Medium,Medium,49.7,18.7,Oily,4,2.9,Moderate,High,Balanced,Yes,Never,23
58,Female,Medium,High,High,27.2,31.4,Oily,8,1.0,Moderate,Low,Healthy,No,Never,74
50,Male,Medium,High,Low,70.3,22.6,Oily,6,3.4,Regular,Medium,Balanced,No,Never,74
60,Male,Medium,Medium,Low,35.4,28.7,Normal,6,3.8,Moderate,High,Junk,No,Never,43
33,Female,Medium,Medium,Low,78.6,20.7,Normal,7,1.4,Light,Low,Balanced,No,Never,71
25,Male,Medium,Medium,High,70.9,18.7,Combination,6,3.8,Moderate,High,Junk,No,Never,42
46,Female,Low,High,Medium,49.3,33.2,Sensitive,7,1.0,Light,Low,Healthy,No,Frequently,51
30,Female,Low,High,Medium,33.0,23.3,Sensitive,5,3.9,Regular,Low,Mixed,Yes,Never,54
57,Male,Medium,Medium,Medium,52.7,18.1,Combination,6,1.2,None,Medium,Mixed,Yes,Never,18
31,Male,High,Medium,Medium,29.5,30.4,Oily,9,2.8,None,Medium,Healthy,No,Never,80
19,Female,Low,Low,High,49.4,21.7,Dry,6,1.2,Moderate,Low,Healthy,No,Never,66
59,Male,Low,Low,High,27.1,24.1,Dry,8,2.3,Moderate,Low,Balanced,No,Never,81
